balance,lw_rev_total,lw_rev_phase,leaderboard_position_chems_all,leaderboard_position_chems_week,leaderboard_position_police_all,leaderboard_position_police_week,mcmmo_power_level,mcmmo_skill_ACROBATICS,mcmmo_skill_ALCHEMY,mcmmo_skill_ARCHERY,mcmmo_skill_AXES,mcmmo_skill_CROSSBOWS,mcmmo_skill_EXCAVATION,mcmmo_skill_FISHING,mcmmo_skill_HERBALISM,mcmmo_skill_MACES,mcmmo_skill_MINING,mcmmo_skill_REPAIR,mcmmo_skill_SALVAGE,mcmmo_skill_SMELTING,mcmmo_skill_SWORDS,mcmmo_skill_TAMING,mcmmo_skill_TRIDENTS,mcmmo_skill_UNARMED,mcmmo_skill_WOODCUTTING,chemrank,policerank,donorrank,goldrank,current_month_votes,plan_player_time_total_raw,plan_player_time_month_raw,plan_player_time_week_raw,plan_player_time_day_raw,plan_player_time_afk_raw,plan_player_latest_session_length_raw,plan_player_favorite_server,plan_player_lastseen,plan_player_sessions_count,plan_player_relativePlaytime_totalmonth,plan_player_relativePlaytime_weekmonth,plan_player_relativePlaytime_dayweek,balance_change,lw_rev_total_change,lw_rev_phase_change,leaderboard_position_chems_all_change,leaderboard_position_chems_week_change,leaderboard_position_police_all_change,leaderboard_position_police_week_change,chemrank_change,policerank_change,donorrank_change,goldrank_change,churn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,95349.0,32073.0,13147.0,0.0,0.0,13147.0,Spawn,204120.0,4.0,2.972874380319895,0.40990864590153714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
119571.87,0.0,0.0,746.0,0.0,0.0,0.0,321, 2, 0, 0, 0, 0, 56, 0, 78, 0, 171, 2, 1, 86, 10, 0, 0, 0, 2,4.0,0.0,0.0,0.0,0.0,30687208.0,0.0,0.0,0.0,4606579.0,412385.0,Town,6427223.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134.97,0.0,0.0,900.0,0.0,0.0,0.0,9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 1,2.0,0.0,0.0,0.0,0.0,653574.0,653574.0,0.0,0.0,0.0,382157.0,Town,942803.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21002.08,0.0,0.0,264.0,0.0,0.0,0.0,269, 58, 0, 0, 0, 0, 31, 0, 40, 0, 137, 0, 0, 68, 2, 0, 0, 0, 1,7.0,0.0,0.0,0.0,0.0,55889083.0,0.0,0.0,0.0,2798237.0,4350206.0,Town,9914963.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,44483.0,44483.0,44483.0,0.0,0.0,6575.0,Spawn,181800.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,57351.0,57351.0,57351.0,0.0,0.0,13101.0,Spawn,568343.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
253458.49,8237476.0,2549628.0,22.0,24.0,6.0,0.0,14816, 2714, 84, 138, 17, 0, 381, 1326, 4864, 859, 2068, 54, 690, 1061, 2119, 0, 0, 2, 190,143.0,143.0,4.0,1.0,0.0,4432516366.0,877347739.0,259403506.0,41844888.0,2001060040.0,1854031.0,Underworld-B,82680.0,5325.0,5.052177339685376,0.29566783439331346,0.16131196006271403,5493601.569999999,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8056771.13,1992292.0,764451.0,38.0,0.0,54.0,0.0,8522, 759, 397, 1, 35, 0, 304, 285, 4176, 38, 1700, 59, 172, 879, 731, 0, 0, 2, 35,143.0,0.0,4.0,0.0,0.0,6840989960.0,236038589.0,0.0,0.0,5903964892.0,6115301.0,Underworld-A,1457243.0,5136.0,28.982506584972,0.0,0.0,1026832.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
314330.26,0.0,0.0,201.0,0.0,0.0,0.0,1832, 266, 133, 67, 0, 0, 31, 135, 309, 0, 458, 17, 76, 237, 416, 0, 0, 0, 0,8.0,0.0,4.0,0.0,22.0,195233268.0,182331737.0,116215828.0,0.0,47122691.0,419014.0,Town,182160.0,372.0,1.0707585591640583,0.6373867211060464,0.0,311935.07,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
779408.72,0.0,0.0,271.0,0.0,0.0,0.0,583, 21, 0, 0, 0, 0, 122, 0, 184, 0, 202, 7, 3, 104, 37, 0, 0, 0, 10,9.0,0.0,1.0,0.0,0.0,70737075.0,16717.0,0.0,0.0,28675073.0,16717.0,Town,896903.0,64.0,4231.4455344858525,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
